Method,Group,Value,Family,Outcome,Label,Direction,Threshold,Model,Fold
SHAP,Family / employment,0.13864212051447974,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
SHAP,Occupation,0.051576341378764594,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
SHAP,Industry,0.13163365395280285,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
SHAP,Geography,0.06654331413661879,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,4
Impurity,Income,0.34968151794859426,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Impurity,Wealth,0.12862086331371034,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Impurity,Education,0.04573524695426323,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Impurity,Demographics,0.16142513340051956,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Impurity,Family / employment,0.09653667529140068,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Impurity,Occupation,0.07982326398282759,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Impurity,Industry,0.09230072233253767,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Impurity,Geography,0.04587657677614666,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Permutation,Income,0.17734412437987584,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Permutation,Wealth,0.008452336951152972,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Permutation,Education,0.007186378255468989,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Permutation,Demographics,0.039064260063429196,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Permutation,Family / employment,0.009363447652160262,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Permutation,Occupation,0.006710672247815019,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Permutation,Industry,0.005843133447164761,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Permutation,Geography,0.02155524316268679,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
SHAP,Income,0.29398784337665124,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
SHAP,Wealth,0.07297614544886503,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
SHAP,Education,0.05754315163965074,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
SHAP,Demographics,0.1522365409823202,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
SHAP,Family / employment,0.12998862344344478,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
SHAP,Occupation,0.08604078216415217,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
SHAP,Industry,0.12726892649472515,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
SHAP,Geography,0.0799579864501905,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,5
Impurity,Income,0.3212452281043375,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Impurity,Wealth,0.10984996667058172,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Impurity,Education,0.05002698834308378,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Impurity,Demographics,0.1754585289650527,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Impurity,Family / employment,0.1297628519883266,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Impurity,Occupation,0.07666117123959242,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Impurity,Industry,0.08577656226806896,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Impurity,Geography,0.05121870242095644,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Permutation,Income,0.08922106712749966,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Permutation,Wealth,7.017459028728079e-05,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Permutation,Education,0.004731207390205295,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Permutation,Demographics,0.03900252139434364,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Permutation,Family / employment,0.00024249352979967,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Permutation,Occupation,-0.003987266049387439,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Permutation,Industry,-0.010430982747840234,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Permutation,Geography,0.008873884277922772,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
SHAP,Income,0.32831182908063317,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
SHAP,Wealth,0.06615437034233916,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
SHAP,Education,0.05003190630513735,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
SHAP,Demographics,0.1843418061029221,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
SHAP,Family / employment,0.1701994504158594,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
SHAP,Occupation,0.05476547121703253,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
SHAP,Industry,0.09112900784530777,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
SHAP,Geography,0.05506615869076846,Relative,DV2,Up 20 pp,Up,20,Random Forest,1
Impurity,Income,0.377831761765386,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Impurity,Wealth,0.15497588678994315,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Impurity,Education,0.06400822535403411,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Impurity,Demographics,0.22358441481045382,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Impurity,Family / employment,0.037041877429931896,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Impurity,Occupation,0.041417411036978206,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Impurity,Industry,0.037674605927196736,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Impurity,Geography,0.06346581688607614,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Permutation,Income,0.16202280134584662,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Permutation,Wealth,-0.010728331946889852,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Permutation,Education,-0.008592860112931288,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Permutation,Demographics,-0.007864456206307097,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Permutation,Family / employment,0.007946438849881287,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Permutation,Occupation,0.002008512243156441,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Permutation,Industry,-0.002626319792673459,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
Permutation,Geography,-0.010824583878970251,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
SHAP,Income,0.3680622584562429,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
SHAP,Wealth,0.11821951034591269,Relative,DV2,Up 20 pp,Up,20,Random Forest,2
