Family,Outcome,Label,Model,Fold,InnerAUC,BestParameters
Parent-child absolute,I2,Up $10k,Gradient Boosting,3,0.7032377041936438,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Parent-child absolute,I2,Up $10k,Gradient Boosting,4,0.7059393305015161,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I2,Up $10k,Gradient Boosting,5,0.7242311427489462,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I3,Up $15k,Random Forest,1,0.7045334890390214,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I3,Up $15k,Random Forest,2,0.7007820021876858,"{""n_estimators"": 250, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""gini""}"
Parent-child absolute,I3,Up $15k,Random Forest,3,0.707807324529341,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I3,Up $15k,Random Forest,4,0.7179135321447973,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
Parent-child absolute,I3,Up $15k,Random Forest,5,0.7023572755731601,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I3,Up $15k,Gradient Boosting,1,0.6984690108822128,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I3,Up $15k,Gradient Boosting,2,0.6923439833050281,"{""n_estimators"": 180, ""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""subsample"": 0.8}"
Parent-child absolute,I3,Up $15k,Gradient Boosting,3,0.7083126859094645,"{""n_estimators"": 180, ""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""subsample"": 0.8}"
Parent-child absolute,I3,Up $15k,Gradient Boosting,4,0.7149393085865343,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""subsample"": 1.0}"
Parent-child absolute,I3,Up $15k,Gradient Boosting,5,0.6942113890778202,"{""n_estimators"": 180, ""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""subsample"": 0.8}"
Parent-child absolute,I4,Up $20k,Random Forest,1,0.6946065019730022,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I4,Up $20k,Random Forest,2,0.6884503571143331,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I4,Up $20k,Random Forest,3,0.7078193228130347,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I4,Up $20k,Random Forest,4,0.6910564248126904,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I4,Up $20k,Random Forest,5,0.6818075136163682,"{""n_estimators"": 350, ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 10, ""criterion"": ""gini""}"
Parent-child absolute,I4,Up $20k,Gradient Boosting,1,0.6887853908420899,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Parent-child absolute,I4,Up $20k,Gradient Boosting,2,0.6936923886211179,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I4,Up $20k,Gradient Boosting,3,0.7063428835461306,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Parent-child absolute,I4,Up $20k,Gradient Boosting,4,0.6952790244400417,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I4,Up $20k,Gradient Boosting,5,0.6860293841482988,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I5,Down $5k,Random Forest,1,0.8034154938567083,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I5,Down $5k,Random Forest,2,0.7836787113158,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I5,Down $5k,Random Forest,3,0.7798728959305173,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I5,Down $5k,Random Forest,4,0.7853879855608307,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I5,Down $5k,Random Forest,5,0.7694504771399647,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I5,Down $5k,Gradient Boosting,1,0.8009874629032206,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I5,Down $5k,Gradient Boosting,2,0.7818046261637055,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I5,Down $5k,Gradient Boosting,3,0.7795274852842038,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
