Family,Outcome,Label,Direction,Threshold,Model,Method,Group,Value,FoldSD,Rank
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Impurity,Geography,0.017778772659600296,0.007285535823670033,7.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Impurity,Income,0.29842720842350523,0.03526086261062967,1.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Impurity,Industry,0.031359747230454794,0.005701997380520382,6.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Impurity,Occupation,0.062244811289658156,0.011178338178316738,5.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Impurity,Wealth,0.24130215349956607,0.03574998088336443,3.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Permutation,Demographics,0.03170398287589092,0.004860841511126398,2.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Permutation,Education,0.00830555091714634,0.003980113716013633,4.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Permutation,Family / employment,-0.00013151396414569306,0.0003718094245664375,7.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Permutation,Geography,-4.797576405356271e-05,0.0029614091687930146,6.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Permutation,Income,0.035936612138840904,0.009978788961295306,1.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Permutation,Industry,-0.0011167024079512754,0.003051683706491466,8.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Permutation,Occupation,0.0016124972069872189,0.0033555659367936665,5.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,Permutation,Wealth,0.026167461677062426,0.004596657680435161,3.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,SHAP,Demographics,0.24978231050408217,0.049125300856758355,1.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,SHAP,Education,0.12443862838596917,0.022284734156039723,4.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,SHAP,Family / employment,0.01617120075155324,0.012035814813468285,8.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,SHAP,Geography,0.03346934482130222,0.014548787439016839,7.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,SHAP,Income,0.23539420681266984,0.015323790410002675,2.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,SHAP,Industry,0.060516995661159076,0.015445031458488924,6.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,SHAP,Occupation,0.08769036666644439,0.014953669817280458,5.0
Benchmark,A5,Down $5k,Down,5000,Gradient Boosting,SHAP,Wealth,0.1925369463968199,0.016719225736477276,3.0
Benchmark,A5,Down $5k,Down,5000,Random Forest,Impurity,Demographics,0.22371858559824517,0.022445114513905056,2.0
Benchmark,A5,Down $5k,Down,5000,Random Forest,Impurity,Education,0.09969564789095324,0.01474446709679632,4.0
Benchmark,A5,Down $5k,Down,5000,Random Forest,Impurity,Family / employment,0.031303405246104886,0.004478391412874585,8.0
Benchmark,A5,Down $5k,Down,5000,Random Forest,Impurity,Geography,0.04028792008327554,0.010822967407699547,7.0
Benchmark,A5,Down $5k,Down,5000,Random Forest,Impurity,Income,0.254756921104161,0.01052151584002961,1.0
Benchmark,A5,Down $5k,Down,5000,Random Forest,Impurity,Industry,0.04884495241423695,0.0046655552446609625,6.0
Benchmark,A5,Down $5k,Down,5000,Random Forest,Impurity,Occupation,0.08005992720815404,0.007998870579522633,5.0
Benchmark,A5,Down $5k,Down,5000,Random Forest,Impurity,Wealth,0.22133264045486922,0.012901887024500326,3.0
Benchmark,A5,Down $5k,Down,5000,Random Forest,Permutation,Demographics,0.02463458190296381,0.007783532785493879,3.0
Benchmark,A5,Down $5k,Down,5000,Random Forest,Permutation,Education,0.005824797362755868,0.004856282110762371,4.0
Benchmark,A5,Down $5k,Down,5000,Random Forest,Permutation,Family / employment,-0.0018178251219308904,0.0017426789280353748,7.0
